type_var,YEAR,typeTotal
other,1952,45.454
other,1953,48.669
other,1954,48.166
other,1955,53.136
other,1956,95.661
other,1957,105.338
other,1958,103.265
other,1959,83.497
other,1960,77.666
other,1961,67.698
other,1962,85.514
other,1963,95.118
other,1964,164.658
other,1965,172.345
other,1966,257.849
other,1967,191.674
other,1968,183.121
other,1969,207.244
other,1970,205.278
other,1971,218.592
other,1972,261.6
other,1973,278.288
other,1974,248.928
other,1975,243.11
other,1976,313.308
other,1977,247.65
other,1978,293.225
other,1979,260.84
other,1980,298.214
other,1981,238.841
other,1982,247.775
other,1983,260.452
other,1984,259.895
other,1985,324.257
other,1986,321.653
other,1987,432.003
other,1988,404.197
other,1989,433.832
other,1990,339.168
other,1991,322.265
other,1992,296.419
other,1993,316.688
other,1994,321.142
other,1995,364.389
other,1996,350.939
other,1997,362.067
other,1998,335.51
other,1999,257.922
other,2000,324.46
other,2001,317.675
other,2002,319.896
other,2003,304.418
other,2004,262.989
other,2005,225.3
other,2006,190.50079
other,2007,208.80702
other,2008,203.91416
other,2009,263.53377
other,2010,303.01302
other,2011,278.10974
other,2012,429.52542
other,2013,386.96602
other,2014,314.06309
other,2015,295.312068
other,2016,314.51855
other,2017,296.874552
other,2018,191.267031937
