"StockKeyLabel","AssessmentYear","AdviceCategory","lineDescription","FishingPressure","StockSize","SBL","Ecoregion","FisheriesGuild"
"san.27.6a",2018,"No advice","Precautionary approach","GREY","GREY","GREY","Celtic Seas Ecoregion, Faroes Ecoregion, Greater North Sea Ecoregion","demersal"
"san.sa.7r",2017,"PA","Maximum sustainable yield","GREY","GREY","GREY","Celtic Seas Ecoregion, Greater North Sea Ecoregion","demersal"
"san.sa.7r",2017,"PA","Precautionary approach","GREY","GREY","GREY","Celtic Seas Ecoregion, Greater North Sea Ecoregion","demersal"
"sbr.27.6-8",2018,"PA","Maximum sustainable yield","GREY","GREY","GREY","Bay of Biscay and the Iberian Coast Ecoregion, Celtic Seas Ecoregion, Greater North Sea Ecoregion","demersal"
"sbr.27.6-8",2018,"PA","Precautionary approach","GREY","GREY","GREY","Bay of Biscay and the Iberian Coast Ecoregion, Celtic Seas Ecoregion, Greater North Sea Ecoregion","demersal"
"sol.27.7a",2019,"MSY","Maximum sustainable yield","GREEN","RED","RED","Celtic Seas Ecoregion","benthic"
"sol.27.7a",2019,"MSY","Precautionary approach","GREEN","ORANGE","RED","Celtic Seas Ecoregion","benthic"
"sol.27.7bc",2017,"PA","Maximum sustainable yield","GREY","GREY","GREY","Celtic Seas Ecoregion, Oceanic Northeast Atlantic Ecoregion","benthic"
"sol.27.7bc",2017,"PA","Precautionary approach","GREY","GREY","GREY","Celtic Seas Ecoregion, Oceanic Northeast Atlantic Ecoregion","benthic"
"sol.27.7e",2019,"MSY","Maximum sustainable yield","GREEN","GREEN","GREEN","Celtic Seas Ecoregion, Greater North Sea Ecoregion","benthic"
"sol.27.7e",2019,"MSY","Precautionary approach","GREEN","GREEN","GREEN","Celtic Seas Ecoregion, Greater North Sea Ecoregion","benthic"
"sol.27.7fg",2019,"MSY","Maximum sustainable yield","GREEN","GREEN","GREEN","Celtic Seas Ecoregion","benthic"
"sol.27.7fg",2019,"MSY","Precautionary approach","GREEN","GREEN","GREEN","Celtic Seas Ecoregion","benthic"
"sol.27.7h-k",2019,"PA","Maximum sustainable yield","GREEN","RED","RED","Celtic Seas Ecoregion, Oceanic Northeast Atlantic Ecoregion","benthic"
"sol.27.7h-k",2019,"PA","Precautionary approach","GREEN","ORANGE","RED","Celtic Seas Ecoregion, Oceanic Northeast Atlantic Ecoregion","benthic"
"spr.27.67a-cf-k",2017,"PA","Maximum sustainable yield","GREY","GREY","GREY","Celtic Seas Ecoregion, Oceanic Northeast Atlantic Ecoregion","pelagic"
"spr.27.67a-cf-k",2017,"PA","Precautionary approach","GREY","GREY","GREY","Celtic Seas Ecoregion, Oceanic Northeast Atlantic Ecoregion","pelagic"
"spr.27.7de",2018,"PA","Maximum sustainable yield","GREY","GREY","GREY","Celtic Seas Ecoregion, Greater North Sea Ecoregion","pelagic"
"spr.27.7de",2018,"PA","Precautionary approach","GREY","GREY","GREY","Celtic Seas Ecoregion, Greater North Sea Ecoregion","pelagic"
"usk.27.3a45b6a7-912b",2019,"PA","Maximum sustainable yield","GREEN","GREEN","GREEN","Bay of Biscay and the Iberian Coast Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","demersal"
"usk.27.3a45b6a7-912b",2019,"PA","Precautionary approach","GREEN","GREEN","GREEN","Bay of Biscay and the Iberian Coast Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","demersal"
"usk.27.6b",2018,"PA","Maximum sustainable yield","GREY","GREY","GREY","Celtic Seas Ecoregion, Oceanic Northeast Atlantic Ecoregion","demersal"
"usk.27.6b",2018,"PA","Precautionary approach","GREY","GREY","GREY","Celtic Seas Ecoregion, Oceanic Northeast Atlantic Ecoregion","demersal"
"whb.27.1-91214",2018,"MP","Maximum sustainable yield","RED","GREEN","GREEN","Arctic Ocean Ecoregion, Bay of Biscay and the Iberian Coast Ecoregion, Barents Sea Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","pelagic"
"whb.27.1-91214",2018,"MP","Precautionary approach","GREEN","GREEN","GREEN","Arctic Ocean Ecoregion, Bay of Biscay and the Iberian Coast Ecoregion, Barents Sea Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","pelagic"
"whg.27.6a",2018,"PA","Maximum sustainable yield","GREEN","RED","RED","Celtic Seas Ecoregion, Faroes Ecoregion","demersal"
"whg.27.6a",2018,"PA","Precautionary approach","GREEN","RED","RED","Celtic Seas Ecoregion, Faroes Ecoregion","demersal"
"whg.27.6b",2018,"PA","Maximum sustainable yield","GREY","GREY","GREY","Celtic Seas Ecoregion, Faroes Ecoregion, Oceanic Northeast Atlantic Ecoregion","demersal"
"whg.27.6b",2018,"PA","Precautionary approach","GREY","GREY","GREY","Celtic Seas Ecoregion, Faroes Ecoregion, Oceanic Northeast Atlantic Ecoregion","demersal"
"whg.27.7b-ce-k",2019,"MSY","Maximum sustainable yield","RED","RED","RED","Celtic Seas Ecoregion, Greater North Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","demersal"
"whg.27.7b-ce-k",2019,"MSY","Precautionary approach","GREEN","RED","RED","Celtic Seas Ecoregion, Greater North Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","demersal"
